source_id,title,publisher,url,use_in_kb
S01,中国糖尿病防治指南（2024版）,中华医学会糖尿病学分会 / 中华糖尿病杂志,https://www.huasan.net/wp-content/uploads/2025/10/%E4%B8%AD%E5%9B%BD%E7%B3%96%E5%B0%BF%E7%97%85%E9%98%B2%E6%B2%BB%E6%8C%87%E5%8D%97%EF%BC%882024%E7%89%88%EF%BC%89.pdf,国内总纲：诊断分型、筛查评估、营养、运动、药物、并发症、低血糖、特殊人群等。
S02,中华医学会糖尿病学分会指南共识页面,中华医学会糖尿病学分会,https://diab.cma.org.cn/cn/zhinangongshi.aspx,用于定位中国糖尿病防治指南、2型、1型、基层等指南资料。
S03,健康中国行动——糖尿病防治行动实施方案（2024—2030年）,国家卫生健康委员会等14部门,https://www.nhc.gov.cn/ylyjs/gzdt/202407/330feafa9cd7458080c05dcdfd380af8.shtml,用于全民教育、合理膳食、科学运动、三减三健、高危人群筛查等政策依据。
S04,Diabetes fact sheet,World Health Organization,https://www.who.int/news-room/fact-sheets/detail/diabetes,用于基础概念、症状、并发症、预防、诊断治疗概览。
S05,Diabetes Basics / Type 2 Diabetes,CDC,https://www.cdc.gov/diabetes/,用于糖尿病基础、类型、预防和生活方式概览。
S06,Manage Blood Sugar,CDC,https://www.cdc.gov/diabetes/treatment/index.html,用于血糖监测时点、常见血糖目标、低/高血糖原因与日常管理建议。
S07,Treatment of Low Blood Sugar (Hypoglycemia),CDC,https://www.cdc.gov/diabetes/treatment/treatment-low-blood-sugar-hypoglycemia.html,用于低血糖阈值、15-15规则、严重低血糖就医提醒。
S08,Healthy Living with Diabetes,NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/diet-eating-physical-activity,用于健康饮食、餐盘法、碳水管理、运动和生活方式。
S09,Get Active!,CDC,https://www.cdc.gov/diabetes/living-with/index.html,用于身体活动与糖尿病管理、运动前咨询医生等提醒。
S10,Health Checks for People with Diabetes,American Diabetes Association,https://diabetes.org/,用于A1C、血压、肾脏、眼底、足部等随访检查的科普。
S11,Know Your Facts About Diabetes,American Diabetes Association,https://diabetes.org/,用于糖尿病常见误区、碳水/水果/甜食等生活误解澄清。
S12,Diabetes myths and facts,MedlinePlus / NIH,https://medlineplus.gov/ency/patientinstructions/000964.htm,用于糖尿病误区、风险因素、饮食和运动常见问题。
S13,Diabetes diet and fruit / healthy eating plan,Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295,用于餐盘法、碳水计数、水果选择与份量示例。
S14,中国2型糖尿病运动治疗指南（2024版）,中华医学会糖尿病学分会等,https://rs.yiigle.com/cmaid/1511971,用于2型糖尿病运动处方原则、并发症共病、血糖监测和安全运动。
S15,中国糖尿病医学营养治疗指南（2022版）,中华糖尿病杂志,http://guide.medlive.cn/guideline/26659,用于医学营养治疗、合理能量、营养结构和行为管理。
S16,中国1型糖尿病诊治指南（2021版）,中华医学会糖尿病学分会,https://rs.yiigle.com/cmaid/1336493,用于1型糖尿病教育、胰岛素、血糖监测、营养、运动和低血糖。
S17,国家基层糖尿病肾脏病防治技术指南（2023）,中华医学会糖尿病学分会等,https://rs.yiigle.com/cmaid/1482578,用于糖尿病肾脏病基层筛查、UACR/eGFR、转诊提醒。
